comment,tone,expertise,encouraging,respectful
"Response 1: okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me. 
 Response 2: a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo!",Response 2,Response 2,They are equally positive,Response 2
"Response 1: i agree with her, cuz dissent is a need today, before iraq war , bush did  blindly what his few experts told him to do , but they were all wrong 
 Response 2: don't you think we are going the wrong way on this? we glorify the abstract. let them go. enough already. i sicken! we don't benefit for this stuff at all, just reinforce our weaknessses. end it. let's move on.",Response 1,Response 1,Response 1,Response 1
"Response 1: no matter how confident you are , there are times when you doubt yourself and lose sight of your dream. this talk is perfect for getting you back on track. 
 Response 2: total flop. i think i would've liked a little history about the people she spoke of. i knew none of them or anything about them; or her. i did like the broken japanese vase, and her unbroken one. i also liked her mentioning of the void!",Response 1,They are equally positive,Response 1,Response 1
"Response 1: okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me. 
 Response 2: i really enjoyed this video and i definitely agree with her. however, the problem with gaming today is that people get addicted to it and they sacrifice their real life friends, physical activity, and family to play wow or go on a raid. great video.",Response 2,Response 1,Response 2,Response 2
"Response 1: 1: ""and he giveth you of all that ye ask for. but if ye count the favours of allah, never will ye be able to number them. verily, man is given up to injustice and ingratitude."" 
 Response 2: 미림    chieko asakawa became blind after a swimming pool accident. i can't imagine what the blind people's feelings are like. maybe she felt very scared and she spent a hard time. but she overcame her disability. i want to have a passion for challenges like her.",Response 2,Response 2,Response 2,Response 2
"Response 1: she is stylish and smart.  thats nice.  her style is just a bit like that incredible liberian.  those stats at the beginning were a shock to me. i figured they talked in a chemical language.  thjats neat how that works. 
 Response 2: i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her.",They are equally positive,Response 2,They are equally positive,They are equally positive
"Response 1: saying you ""have a friend""  or making sweeping statements of any kind is unacceptable and throws doubt on your veracity.  please back up any and all claims with citations. 
 Response 2: glad that education didn't succeed in ruining that genius thought process of yours mr. balasubramaniam. aren't you glad you didn't get thru academics at school. you discovered your voice. we gained a thinking artist.",Response 2,They are equally positive,Response 2,Response 2
"Response 1: this speech is chilling to the bones. brown is abusing human suffering and people's desire to help in his afford to promoting global government and increased government control. i would not care so much if he was not the british prime minister and a significant power in international politics. 
 Response 2: five miles a second.  hard to relate to at first.  then, a sunrise and sunset every forty five minutes....for six months.  what an incredible reward for overcoming your fears and keeping your goal in front of you.  an amazing ride he takes you through!",Response 2,Response 1,Response 2,Response 2
"Response 1: i used to think this guy was just a media hog with his stunts. this talk completely changed my mind. i still think he's a bit crazy, but you have to have serious respect for this kind of willpower. simply amazing. we need more people that are crazy-dedicated like this. 
 Response 2: i shared your talk. how inspiring to reflect on the reasons that rigid perfectionism is so fatal to creativity. you gave so many lucid, cogent examples. i always take a little ted at lunchtime as food for thought. how delicious was your talk today!",They are equally positive,They are equally positive,They are equally positive,They are equally positive
"Response 1: i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her. 
 Response 2: i wonder how many of you know that many human trials happen in africa.  why? just in case the numbers are not good. and you know that that means, for both them and you, right.",Response 1,They are equally positive,Response 1,Response 1
"Response 1: amazing , amaazing may god bless you more , it is so inspiring, and touchy may you get the help you need and help more people with your work. 
 Response 2: i think introverts are quiet people. they don't feel shy to be alone and that is their biggest power because when you are alone, you meet yourself.",Response 1,They are equally positive,Response 1,Response 1
"Response 1: can't believe he didn't mention sex slavery, which if anything is the most despicable form of slavery and would certainly have strengthened his case and his talk even more.  overall good talk though, and very important for getting that info out there. 
 Response 2: i stopped the video when she said ""my project is about art, specifically about black artists"". if a white guy said ""my project is about art, specifically about white artists"" he would be racist.",Response 1,Response 1,Response 1,Response 1
"Response 1: okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me. 
 Response 2: saying you ""have a friend""  or making sweeping statements of any kind is unacceptable and throws doubt on your veracity.  please back up any and all claims with citations.",They are equally positive,Response 1,They are equally positive,They are equally positive
"Response 1: she has a strong personality and passion when she talks that is motivating. stay hungry, never stop dreaming, stay around with the correct people, and work your ass off. for me that's the formula to succes in everything you want so bad. 
 Response 2: she is stylish and smart.  thats nice.  her style is just a bit like that incredible liberian.  those stats at the beginning were a shock to me. i figured they talked in a chemical language.  thjats neat how that works.",They are equally positive,Response 1,They are equally positive,They are equally positive
"Response 1: no matter how confident you are , there are times when you doubt yourself and lose sight of your dream. this talk is perfect for getting you back on track. 
 Response 2: this speech is chilling to the bones. brown is abusing human suffering and people's desire to help in his afford to promoting global government and increased government control. i would not care so much if he was not the british prime minister and a significant power in international politics.",Response 1,Response 2,Response 1,They are equally positive
"Response 1: 미림    chieko asakawa became blind after a swimming pool accident. i can't imagine what the blind people's feelings are like. maybe she felt very scared and she spent a hard time. but she overcame her disability. i want to have a passion for challenges like her. 
 Response 2: just finished reading her book. fantastic but sad story. i'd encourage you to read it to get a better picture of what life is like in north korea and the difficulties the people have trying to escape through china.",They are equally positive,Response 2,They are equally positive,They are equally positive
"Response 1: a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo! 
 Response 2: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on.",Response 1,Response 1,Response 1,Response 1
"Response 1: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on. 
 Response 2: okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me.",They are equally positive,Response 2,They are equally positive,Response 2
"Response 1: i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her. 
 Response 2: no matter how confident you are , there are times when you doubt yourself and lose sight of your dream. this talk is perfect for getting you back on track.",They are equally positive,They are equally positive,They are equally positive,They are equally positive
"Response 1: glad that education didn't succeed in ruining that genius thought process of yours mr. balasubramaniam. aren't you glad you didn't get thru academics at school. you discovered your voice. we gained a thinking artist. 
 Response 2: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on.",Response 1,Response 1,Response 1,Response 1
"Response 1: don't you think we are going the wrong way on this? we glorify the abstract. let them go. enough already. i sicken! we don't benefit for this stuff at all, just reinforce our weaknessses. end it. let's move on. 
 Response 2: she is stylish and smart.  thats nice.  her style is just a bit like that incredible liberian.  those stats at the beginning were a shock to me. i figured they talked in a chemical language.  thjats neat how that works.",Response 2,Response 1,Response 2,They are equally positive
"Response 1: i wonder how many of you know that many human trials happen in africa.  why? just in case the numbers are not good. and you know that that means, for both them and you, right. 
 Response 2: glad that education didn't succeed in ruining that genius thought process of yours mr. balasubramaniam. aren't you glad you didn't get thru academics at school. you discovered your voice. we gained a thinking artist.",Response 2,They are equally positive,Response 2,Response 2
"Response 1: don't you think we are going the wrong way on this? we glorify the abstract. let them go. enough already. i sicken! we don't benefit for this stuff at all, just reinforce our weaknessses. end it. let's move on. 
 Response 2: total flop. i think i would've liked a little history about the people she spoke of. i knew none of them or anything about them; or her. i did like the broken japanese vase, and her unbroken one. i also liked her mentioning of the void!",They are equally positive,Response 1,Response 2,They are equally positive
"Response 1: 미림    chieko asakawa became blind after a swimming pool accident. i can't imagine what the blind people's feelings are like. maybe she felt very scared and she spent a hard time. but she overcame her disability. i want to have a passion for challenges like her. 
 Response 2: ron, ,it was great meeting and engaging with you at tedxmidwest.... i appreciate your advice and words of wisdom...",They are equally positive,They are equally positive,They are equally positive,They are equally positive
"Response 1: 미림    chieko asakawa became blind after a swimming pool accident. i can't imagine what the blind people's feelings are like. maybe she felt very scared and she spent a hard time. but she overcame her disability. i want to have a passion for challenges like her. 
 Response 2: don't you think we are going the wrong way on this? we glorify the abstract. let them go. enough already. i sicken! we don't benefit for this stuff at all, just reinforce our weaknessses. end it. let's move on.",Response 1,They are equally positive,Response 1,Response 2
"Response 1: your reusable cloth grocery bag doesn't really matter very much when all the other food packaging that you carry home weighs tens of times as much as that flimsy little plastic carry bag you gave up. 
 Response 2: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on.",They are equally positive,Response 1,They are equally positive,Response 1
"Response 1: his language is at the same level as the archutecture and city planning he reffers to. and of course, insult the bulgarians while you're at it... he does have a point, but the delivery is so crass... 
 Response 2: i really enjoyed this video and i definitely agree with her. however, the problem with gaming today is that people get addicted to it and they sacrifice their real life friends, physical activity, and family to play wow or go on a raid. great video.",Response 2,They are equally positive,Response 2,Response 2
"Response 1: i stopped the video when she said ""my project is about art, specifically about black artists"". if a white guy said ""my project is about art, specifically about white artists"" he would be racist. 
 Response 2: i agree with her, cuz dissent is a need today, before iraq war , bush did  blindly what his few experts told him to do , but they were all wrong",Response 2,They are equally positive,Response 2,Response 2
"Response 1: if mrs. goodall travels 300 days a year as she says her ecological footprint must be gigantic. thus i humbly doubt the seriousness of her environmental commitment. 
 Response 2: i think introverts are quiet people. they don't feel shy to be alone and that is their biggest power because when you are alone, you meet yourself.",Response 2,They are equally positive,Response 2,Response 2
"Response 1: incredible story. large organizations and cities have chosen to consider this art viable so any criticisms here are from those possibly not happy with their own creative lives. glad to see you joy of creativity supported.  bravo !! 
 Response 2: i shared your talk. how inspiring to reflect on the reasons that rigid perfectionism is so fatal to creativity. you gave so many lucid, cogent examples. i always take a little ted at lunchtime as food for thought. how delicious was your talk today!",They are equally positive,They are equally positive,They are equally positive,They are equally positive
"Response 1: ron, ,it was great meeting and engaging with you at tedxmidwest.... i appreciate your advice and words of wisdom... 
 Response 2: a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo!",Response 1,Response 2,Response 1,Response 1
"Response 1: if mrs. goodall travels 300 days a year as she says her ecological footprint must be gigantic. thus i humbly doubt the seriousness of her environmental commitment. 
 Response 2: ron, ,it was great meeting and engaging with you at tedxmidwest.... i appreciate your advice and words of wisdom...",Response 2,Response 1,Response 2,Response 2
"Response 1: apps, its crazy what kids know. while working for a few charleston wedding photographers at www.charlestonsnapped.com who use to make wedding apps. not sure if they still make them but few were mary me apps. 
 Response 2: five miles a second.  hard to relate to at first.  then, a sunrise and sunset every forty five minutes....for six months.  what an incredible reward for overcoming your fears and keeping your goal in front of you.  an amazing ride he takes you through!",Response 2,They are equally positive,Response 2,Response 2
"Response 1: just finished reading her book. fantastic but sad story. i'd encourage you to read it to get a better picture of what life is like in north korea and the difficulties the people have trying to escape through china. 
 Response 2: to kates critics: lighten up and think about what her message is. to kate: i think your cool. your critics may well ask what use is a new born baby.",They are equally positive,Response 1,They are equally positive,They are equally positive
"Response 1: i really enjoyed this video and i definitely agree with her. however, the problem with gaming today is that people get addicted to it and they sacrifice their real life friends, physical activity, and family to play wow or go on a raid. great video. 
 Response 2: she is stylish and smart.  thats nice.  her style is just a bit like that incredible liberian.  those stats at the beginning were a shock to me. i figured they talked in a chemical language.  thjats neat how that works.",They are equally positive,Response 1,Response 1,They are equally positive
"Response 1: if mrs. goodall travels 300 days a year as she says her ecological footprint must be gigantic. thus i humbly doubt the seriousness of her environmental commitment. 
 Response 2: this speech is chilling to the bones. brown is abusing human suffering and people's desire to help in his afford to promoting global government and increased government control. i would not care so much if he was not the british prime minister and a significant power in international politics.",Response 2,They are equally positive,Response 2,Response 2
"Response 1: amazing talk. the emotion attachment, that is hiding inside the internet, is yet waiting to be discovered. the world becomes so alive when you start to think, and when you start to connect. i wonder what ze would do with all the comments on his ted talks? 
 Response 2: i too was a little sceptical at first, i thought the intro was a little cheesy, but when she knuckled down and started revealing her message it turned out to be one of the best talks ive seen! favourited.",They are equally positive,They are equally positive,They are equally positive,They are equally positive
"Response 1: oh.... the spectacular irony... the car co's dragged their feet... and looky here... if they had created the market they might have a market ... now they are vanishing before our very eyes... bye bye gm. hows that for a killer sequel ! 
 Response 2: a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo!",Response 2,Response 2,Response 2,Response 2
"Response 1: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on. 
 Response 2: incredible story. large organizations and cities have chosen to consider this art viable so any criticisms here are from those possibly not happy with their own creative lives. glad to see you joy of creativity supported.  bravo !!",Response 2,Response 2,Response 2,Response 2
"Response 1: can't believe he didn't mention sex slavery, which if anything is the most despicable form of slavery and would certainly have strengthened his case and his talk even more.  overall good talk though, and very important for getting that info out there. 
 Response 2: five miles a second.  hard to relate to at first.  then, a sunrise and sunset every forty five minutes....for six months.  what an incredible reward for overcoming your fears and keeping your goal in front of you.  an amazing ride he takes you through!",Response 2,They are equally positive,Response 2,They are equally positive
